Lp,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [EN],Odpowiedź A [EN],Odpowiedź B [EN],Odpowiedź C [EN],Pytanie [D],Odpowiedź A [D],Odpowiedź B [D],Odpowiedź C [D],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA]
1,99,Czy w tej sytuacji masz obowiązek zatrzymać pojazd?,,,,T,AK_D05_06_org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,Are you obliged to stop the vehicle in the presented situation?,,,,"Bist du in der dargestellten Situation dazu verpflichtet, das Fahrzeug anzuhalten?",,,,Чи зобов'язані Ви зупинити свій транспортний засіб у цій ситуації?,,,
2,100,Czy w tej sytuacji masz obowiązek zatrzymać pojazd?,,,,T,AK_D10_30_org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm100.wmv,,,,Are you obliged to stop the vehicle in the presented situation?,,,,"Sind Sie in der dargestellten Situation dazu verpflichtet, das Fahrzeug anzuhalten?",,,,Чи зобов'язані Ви зупинити свій транспортний засіб у цій ситуації?,,,
3,109,Czy w przedstawionej sytuacji masz prawo kontynuować jazdę?,,,,N,AK_D11_43org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm109.wmv,,,,Can you continue driving in this situation?,,,,Darfst du in der dargestellten Situation die Fahrt fortsetzen?,,,,Чи Ви маєте право продовжувати рух у представленій ситуації?,,,
4,110,Czy w przedstawionej sytuacji masz prawo - mimo podawanego sygnału - skręcić w prawo?,,,,N,AK_D11_45org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,Are you allowed in this situation to turn right despite the light displayed?,,,,Darfst du in der dargestellten Situation - trotz des gegebenen Signals - rechts abbiegen?,,,,"Чи Ви маєте право у представленій ситуації повертати вправо, незважаючи на сигнал, що подається?",,,
5,290,Jaką odległość należy zachować między jadącymi kolumnami samochodów ciężarowych?,Nie mniejszą niż 800 metrów.,Nie mniejszą niż 500 metrów.,Nie mniejszą niż 200 metrów.,B,,SPECJALISTYCZNY,3,C,pjm290.wmv,pjm290a.wmv,pjm290b.wmv,pjm290c.wmv,What should be the safe following distance between columns of lorries?,Not less than 800 metres.,Not less than 500 metres.,Not less than 200 metres.,"Wie groß soll der Abstand sein, der zwischen den fahrenden LKW- Kolonnen, die Straßentransport für eigenen Bedarf ausführen, zu halten ist?",Nicht kleiner als 800 meter.,Nicht kleiner als 500 meter.,Nicht kleiner als 200 meter.,"Яку відстань слід дотримуватися між колонами вантажних автомобілів, що рухаються по дорозі?",Не менше 800 метрів,Не менше 500 метрів,Не менше 200 метрів
6,293,"Kierujesz samochodem ciężarowym. Który z wymienionych czynników jesteś zobowiązany uwzględnić, aby zachować bezpieczny odstęp od poprzedzającego pojazdu?",Prędkość pojazdów.,Moc silnika.,Szerokość pojazdów.,A,,SPECJALISTYCZNY,3,C,pjm293.wmv,pjm293a.wmv,pjm293b.wmv,pjm293c.wmv,You are driving a lorry. Which of the following factors should you take into account to keep a safe distance from the vehicle in front?,Speed of the vehicles.,Power of the engine.,Width of the vehicles.,"Sie fahren einen LKW. Welchen der genannten Faktoren haben Sie zu berücksichtigen, damit ein sicherer Abstand zu dem vorausfahrenden Fahrzeug gehalten wird?",Die Geschwindigkeit der Fahrzeuge.,Die Motorleistung.,Die Breite der Fahrzeuge.,"Ви керуєте вантажним автомобілем. Який із перерахованих чинників Ви зобов'язані врахувати, щоб дотримуватися безпечної дистанції від транспортного засобу, що їде попереду?",Швидкість транспортних засобів,Потужність двигуна,Ширину транспортних засобів
7,352,Czy na jezdni oznaczonej tym znakiem wolno Ci zawrócić?,,,,N,IMG_4251orgbm.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm352.wmv,,,,Are you allowed to make a U-turn on a roadway with this sign?,,,,Darfst du auf der mit diesem Zeichen gekennzeichneten Fahrbahn wenden?,,,,"Чи дозволяється розворот Вашого транспортного засобу, якщо проїжджа частина позначена цим знаком?",,,
8,469,"Czy w tej sytuacji powinieneś oczekiwać, że następnym sygnałem będzie światło zielone?",,,,T,3106D15_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm469.wmv,,,,"In the presented situation, should you expect that the next light will be green?",,,,"Soll man in der dargestellten Situation erwarten, dass als nächstes Signal das grüne Licht kommt?",,,,"Чи у цій ситуації слід очікувати, що наступним сигналом буде зелене світло світлофора?",,,
9,475,Czy w tej sytuacji wolno Ci skręcić w prawo bez zatrzymania się przed sygnalizatorem?,,,,N,0118D14MM_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm475.wmv,,,,In the presented situation are you allowed to turn right without stopping before the traffic lights?,,,,"Darf man in der dargestellten Situation rechts abbiegen, ohne vor der Ampel angehalten zu haben?",,,,"Чи можна в цій ситуації повертати вправо, не зупиняючись перед світлофором?",,,
10,477,Czy w tej sytuacji sygnał świetlny nadawany dla Twojego pasa ruchu zezwala Ci na zawracanie?,,,,N,2064D14MM_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm477.wmv,,,,Does the light signal for you lane allow for making a U-turn in this situation?,,,,"Erlaubt in der dargestellten Situation das Lichtsignal, das für Ihre Fahrspur gesendet wird, zu wenden?",,,,Чи у цій ситуації сигнал світлофора для Вашої смуги руху дозволяє Вам на розворот транспортного засобу?,,,
